id,timestamp,value,sensor_id
20296,2024-08-26 21:13:07.320738,38.0,4
20299,2024-08-26 21:14:11.056126,37.0,4
20302,2024-08-26 21:15:14.808326,37.0,4
20307,2024-08-26 21:17:22.233757,38.0,4
20310,2024-08-26 21:18:26.062362,37.0,4
20313,2024-08-26 21:19:29.955741,38.0,4
20316,2024-08-26 21:20:33.720973,38.0,4
20319,2024-08-26 21:21:37.485804,38.0,4
20322,2024-08-26 21:22:41.264365,38.0,4
20325,2024-08-26 21:23:45.065754,38.0,4
20328,2024-08-26 21:24:48.970987,38.0,4
20331,2024-08-26 21:25:52.860463,39.0,4
20334,2024-08-26 21:26:56.652522,38.0,4
20337,2024-08-26 21:28:00.352744,38.0,4
20340,2024-08-26 21:29:04.202531,38.0,4
20343,2024-08-26 21:30:07.936009,40.0,4
20346,2024-08-26 21:31:11.624661,39.0,4
20349,2024-08-26 21:32:15.382015,38.0,4
20352,2024-08-26 21:33:19.160567,39.0,4
20355,2024-08-26 21:34:22.911593,39.0,4
20358,2024-08-26 21:35:26.675843,39.0,4
20361,2024-08-26 21:36:30.373453,39.0,4
20364,2024-08-26 21:37:34.242485,39.0,4
20367,2024-08-26 21:38:37.952308,39.0,4
20370,2024-08-26 21:39:41.695706,39.0,4
20373,2024-08-26 21:40:45.429041,39.0,4
20376,2024-08-26 21:41:49.177660,39.0,4
20379,2024-08-26 21:42:52.914809,39.0,4
20382,2024-08-26 21:43:56.672682,39.0,4
20385,2024-08-26 21:45:00.461704,39.0,4
20388,2024-08-26 21:46:04.231638,39.0,4
20391,2024-08-26 21:47:07.949653,40.0,4
20394,2024-08-26 21:48:11.711699,40.0,4
20397,2024-08-26 21:49:15.465555,40.0,4
20400,2024-08-26 21:50:19.293369,40.0,4
20403,2024-08-26 21:51:23.070966,39.0,4
20406,2024-08-26 21:52:26.829180,39.0,4
20409,2024-08-26 21:53:30.698842,40.0,4
20412,2024-08-26 21:54:34.479554,40.0,4
20415,2024-08-26 21:55:38.227789,40.0,4
20418,2024-08-26 21:56:42.046536,40.0,4
20421,2024-08-26 21:57:45.764062,40.0,4
20424,2024-08-26 21:58:49.505683,40.0,4
20427,2024-08-26 21:59:53.308954,40.0,4
20430,2024-08-26 22:00:57.107823,40.0,4
20433,2024-08-26 22:02:00.986274,40.0,4
20436,2024-08-26 22:03:04.866163,40.0,4
20439,2024-08-26 22:04:08.574694,41.0,4
20442,2024-08-26 22:05:12.389418,40.0,4
20445,2024-08-26 22:06:16.102475,40.0,4
20448,2024-08-26 22:07:19.983195,40.0,4
20451,2024-08-26 22:08:23.806727,40.0,4
20454,2024-08-26 22:09:27.634610,40.0,4
20457,2024-08-26 22:10:31.530727,40.0,4
20460,2024-08-26 22:11:35.453291,40.0,4
20463,2024-08-26 22:12:39.146695,40.0,4
20466,2024-08-26 22:13:42.874426,40.0,4
20469,2024-08-26 22:14:46.728647,40.0,4
20472,2024-08-26 22:15:50.496289,40.0,4
20475,2024-08-26 22:16:54.236684,40.0,4
20478,2024-08-26 22:17:58.041809,40.0,4
20481,2024-08-26 22:19:01.892922,40.0,4
20484,2024-08-26 22:20:05.690954,40.0,4
20487,2024-08-26 22:21:09.486388,40.0,4
20490,2024-08-26 22:22:13.246935,41.0,4
20493,2024-08-26 22:23:17.080839,40.0,4
20496,2024-08-26 22:24:20.812852,40.0,4
20499,2024-08-26 22:25:24.600018,41.0,4
20502,2024-08-26 22:26:28.358895,41.0,4
20505,2024-08-26 22:27:32.085096,40.0,4
20508,2024-08-26 22:28:35.955821,41.0,4
20511,2024-08-26 22:29:39.867977,40.0,4
20514,2024-08-26 22:30:43.691097,41.0,4
20517,2024-08-26 22:31:47.470946,40.0,4
20520,2024-08-26 22:32:51.272537,41.0,4
20525,2024-08-26 22:34:58.529784,40.0,4
20528,2024-08-26 22:36:02.333728,41.0,4
20531,2024-08-26 22:37:06.181804,41.0,4
20534,2024-08-26 22:38:09.985486,41.0,4
20537,2024-08-26 22:39:13.702460,42.0,4
20540,2024-08-26 22:40:17.410476,41.0,4
20543,2024-08-26 22:41:21.112732,41.0,4
20546,2024-08-26 22:42:24.854561,41.0,4
20549,2024-08-26 22:43:28.647689,41.0,4
